label,song,loud,dance,energy,tempo,variance,live
"0","If I Were a Boy","-6.126","0.63","0.43","90.01","0.52","0.35"
"2","Infinity 2008","-6.02","0.5","0.47","128.03","0.86","0.35"
"1","Beggin'","-6.173","0.6","0.44","108.03","0.71","0.26"
"0","Que te quería","-5.046","0.56","0.57","142.81","0.74","0.24"
"0","Peter Pan","-3.358","0.57","0.48","92.45","0.83","0.2"
"1","Moving","-7.373","0.77","0.71","149.92","0.79","0.2"
"0","Just Dance","-4.541","0.82","0.75","118.99","0.74","0.18"
"0","When Love Takes Over","-4.614","0.67","0.5","129.97","0.86","0.17"
"1","Disturbia","-4.515","0.71","0.72","124.92","0.81","0.17"
"0","Human","-4.097","0.6","0.55","75.09","0.71","0.17"
"0","Por quererte","-3.764","0.7","0.89","139.96","0.83","0.15"
"0","The Boy Does Nothing","-3.664","0.57","0.84","174.05","0.96","0.14"
"1","Colgando en tus manos","-4.803","0.84","0.88","120.03","0.64","0.13"
"2","Colgando en tus manos","-4.803","0.84","0.88","120.03","0.64","0.13"
"0","Poker Face","-4.62","0.85","0.79","119","0.81","0.12"
"0","Fireflies","-6.8","0.51","0.46","180.12","0.66","0.12"
"0","Esclavo de sus besos","-3.711","0.6","0.71","134.96","0.9","0.12"
"0","Hemicraneal","-5.84","0.82","0.65","132.02","0.74","0.11"
"1","I'm Yours","-8.322","0.69","0.72","150.95","0.46","0.11"
"1","Ayo Technology","-7.664","0.78","0.75","128.05","0.66","0.1"
"0","Ayo Technology","-7.664","0.78","0.75","128.05","0.66","0.1"
"1","Manos al aire","-3.815","0.77","0.89","125.01","0.76","0.1"
"1","Looking for Paradise","-6.269","0.57","0.64","88.95","0.59","0.08"
"1","Summercat","-8.12","0.72","0.82","95.06","0.72","0.08"
"1","Hot N Cold","-3.956","0.71","0.86","132.03","0.84","0.07"
"1","Quiero ser","-3.507","0.59","0.45","134.02","0.72","0.07"
"0","This is the Life","-5.024","0.63","0.85","95.08","0.88","0.07"
"0","This is the Life","-5.024","0.63","0.85","95.08","0.88","0.07"
"1","Estoy enfermo","-3.177","0.57","0.82","100.02","0.83","0.06"
"0","Halo","-5.908","0.51","0.47","79.98","0.72","0.06"
"1","Sueños rotos","-6.091","0.57","0.71","126","0.93","0.98"
"1","Tenía tanto que darte","-3.81","0.65","0.5","124.96","0.58","0.4"
"1","Rehab","-2.974","0.43","0.73","71.52","0.87","0.4"
"2","Ella Elle L'a","-4.407","0.56","0.54","124.93","0.86","0.3"
"2","Ella Elle l'a","-4.407","0.56","0.54","124.93","0.86","0.3"
"1","Ella Elle l'a","-4.407","0.56","0.54","124.93","0.86","0.3"
"0","No dudaría","-10.466","0.6","0.67","139.82","0.73","0.26"
"1","Beautiful Girls","-6.075","0.76","0.77","130.01","0.66","0.26"
"0","Estrella polar","-3.957","0.52","0.78","126.97","0.84","0.25"
"1","Un violinista en tu tejado","-6.283","0.51","0.58","156.39","0.84","0.24"
"0","Peter Pan","-3.358","0.57","0.48","92.45","0.83","0.2"
"0","Cuando me vaya","-2.804","0.57","0.2","143.86","0.72","0.17"
"0","Bleeding Love","-5.886","0.64","0.23","104.04","0.66","0.15"
"0","No One","-4.001","0.71","0.48","99.99","0.73","0.14"
"1","I Kissed a Girl","-3.173","0.7","0.7","130","0.76","0.13"
"0","Papeles mojados","-8.023","0.68","0.63","96.07","0.82","0.12"
"0","Cuando amanece","-2.444","0.51","0.6","179.87","0.95","0.11"
"0","Mercy","-4.882","0.56","0.38","148.13","0.67","0.11"
"0","Mercy","-4.882","0.56","0.38","148.13","0.67","0.11"
"1","Viva la Vida","-7.115","0.49","0.42","138.02","0.62","0.11"
"1","Apologize","-6.12","0.59","0.5","118.01","0.74","0.1"
"0","Pretendo hablarte","-8.784","0.74","0.86","104.05","0.72","0.1"
"0","Rise Up","-6.619","0.5","0.08","93.78","0.71","0.1"
"0","Como un lobo","-5.844","0.57","0.76","159.94","0.89","0.09"
"1","¡Eres tonto!","-3.269","0.41","0.9","189.15","0.9","0.09"
"0","El último vals","-4.788","0.59","0.61","137.98","0.8","0.09"
"0","El último vals","-4.788","0.59","0.61","137.98","0.8","0.09"
"1","Kamikaze","-6.7","0.59","0.87","155.05","0.83","0.07"
"1","Say It Right","-6.328","0.87","0.81","116.95","0.87","0.05"
"2","Don't Stop the Music","-5.582","0.84","0.54","122.67","0.67","0.05"
"1","Patience","-14.439","0.46","0.35","119.79","0.27","0.37"
"0","Grace Kelly","-5.752","0.68","0.7","122.22","0.82","0.36"
"0","Todo irá bien","-3.923","0.67","0.74","97.99","0.86","0.24"
"1","Monsoon","-5.306","0.58","0.18","111.99","0.73","0.22"
"0","Manda una señal","-5.039","0.45","0.32","186.14","0.83","0.14"
"0","Ojalá pudiera borrarte","-6.393","0.54","0.72","170.12","0.69","0.14"
"1","Calle la Pantomima","-5.9","0.47","0.54","158.22","0.87","0.14"
"0","Chasing Cars","-4.53","0.56","0.14","104.01","0.6","0.13"
"1","Do Ya","-8.521","0.57","0.12","170.14","0.53","0.13"
